date,strategy,return,nav
2018-01-02,csi300_etf_buy_hold,0.0,1.0
2018-01-03,csi300_etf_buy_hold,0.005319148936170359,1.0053191489361704
2018-01-04,csi300_etf_buy_hold,0.0031265031265030885,1.0084622823984528
2018-01-05,csi300_etf_buy_hold,0.0038360105490289342,1.012330754352031
2018-01-08,csi300_etf_buy_hold,0.004060186290900214,1.0164410058027078
2018-01-09,csi300_etf_buy_hold,0.008087535680304736,1.024661508704062
2018-01-10,csi300_etf_buy_hold,0.004247286455875354,1.0290135396518376
2018-01-11,csi300_etf_buy_hold,-0.0014097744360902498,1.0275628626692457
2018-01-12,csi300_etf_buy_hold,0.005411764705882227,1.0331237911025144
2018-01-15,csi300_etf_buy_hold,-0.0018722209220688457,1.0311895551257253
2018-01-16,csi300_etf_buy_hold,0.010082063305978828,1.041586073500967
2018-01-17,csi300_etf_buy_hold,-0.003017641597028775,1.0384429400386845
2018-01-18,csi300_etf_buy_hold,0.006519208381839503,1.0452127659574468
2018-01-19,csi300_etf_buy_hold,0.002775850104094202,1.0481141199226305
2018-01-22,csi300_etf_buy_hold,0.012687427912341231,1.0614119922630558
2018-01-23,csi300_etf_buy_hold,-0.0004555808656035998,1.0609284332688587
2018-01-24,csi300_etf_buy_hold,0.0006836827711942384,1.0616537717601546
2018-01-25,csi300_etf_buy_hold,-0.006376679571851396,1.0548839458413928
2018-01-26,csi300_etf_buy_hold,0.005042402016960601,1.0602030947775627
2018-01-29,csi300_etf_buy_hold,-0.0189281641961232,1.040135396518375
2018-01-30,csi300_etf_buy_hold,-0.010227801022779981,1.0294970986460348
2018-01-31,csi300_etf_buy_hold,0.0030530765617660105,1.032640232108317
2018-02-01,csi300_etf_buy_hold,-0.007024116132053448,1.0253868471953576
2018-02-02,csi300_etf_buy_hold,0.0061306295684981915,1.0316731141199225
2018-02-05,csi300_etf_buy_hold,-0.0009374267635342548,1.0307059961315277
2018-02-06,csi300_etf_buy_hold,-0.028149190710767047,1.0016924564796903
2018-02-07,csi300_etf_buy_hold,-0.023654356746319105,0.9779980657640229
2018-02-08,csi300_etf_buy_hold,-0.008158220024721996,0.9700193423597675
2018-02-09,csi300_etf_buy_hold,-0.04611166500498498,0.925290135396518
2018-02-12,csi300_etf_buy_hold,0.014371570420695035,0.9385880077369435
2018-02-13,csi300_etf_buy_hold,0.012107161257083998,0.9499516441005799
2018-02-14,csi300_etf_buy_hold,0.008908119114278579,0.9584139264990326
2018-02-22,csi300_etf_buy_hold,0.02068617558022212,0.9782398452611216
2018-02-23,csi300_etf_buy_hold,0.005437469105288972,0.9835589941972916
2018-02-26,csi300_etf_buy_hold,0.012782694198623545,0.9961315280464214
2018-02-27,csi300_etf_buy_hold,-0.014320388349514657,0.9818665377176011
2018-02-28,csi300_etf_buy_hold,-0.010096035459246533,0.9719535783365566
2018-03-01,csi300_etf_buy_hold,0.007213930348259012,0.9789651837524176
2018-03-02,csi300_etf_buy_hold,-0.006668313163744166,0.9724371373307541
2018-03-05,csi300_etf_buy_hold,-0.0022376926902040184,0.9702611218568662
2018-03-06,csi300_etf_buy_hold,0.014951407924246318,0.9847678916827851
2018-03-07,csi300_etf_buy_hold,-0.008102136017677508,0.9767891682785297
2018-03-08,csi300_etf_buy_hold,0.010148514851485269,0.9867021276595743
2018-03-09,csi300_etf_buy_hold,0.007351139426611031,0.9939555125725336
2018-03-12,csi300_etf_buy_hold,0.0029189978107517778,0.9968568665377174
2018-03-13,csi300_etf_buy_hold,-0.01067184089255413,0.9862185686653768
2018-03-14,csi300_etf_buy_hold,-0.0034322137778866058,0.9828336557059959
2018-03-15,csi300_etf_buy_hold,0.007380073800737907,0.9900870406189551
2018-03-16,csi300_etf_buy_hold,-0.01098901098901095,0.9792069632495161
2018-03-19,csi300_etf_buy_hold,0.005432098765432158,0.9845261121856863
2018-03-20,csi300_etf_buy_hold,-0.0004911591355598599,0.984042553191489
2018-03-21,csi300_etf_buy_hold,-0.005159705159705097,0.9789651837524175
2018-03-22,csi300_etf_buy_hold,-0.008891084218325629,0.9702611218568661
2018-03-23,csi300_etf_buy_hold,-0.029653625716421605,0.9414893617021273
2018-03-26,csi300_etf_buy_hold,-0.0046224961479199855,0.9371373307543516
2018-03-27,csi300_etf_buy_hold,0.009029927760577872,0.9455996131528042
2018-03-28,csi300_etf_buy_hold,-0.020199437484019533,0.9264990328820111
2018-03-29,csi300_etf_buy_hold,0.018267223382046005,0.9434235976789164
2018-03-30,csi300_etf_buy_hold,-0.0015376729882112805,0.9419729206963244
2018-04-02,csi300_etf_buy_hold,-0.0033367556468172355,0.9388297872340421
2018-04-03,csi300_etf_buy_hold,-0.006438320885912896,0.932785299806576
2018-04-04,csi300_etf_buy_hold,-0.0025920165889061764,0.9303675048355895
2018-04-09,csi300_etf_buy_hold,0.0012993762993764868,0.9315764023210829
2018-04-10,csi300_etf_buy_hold,0.019465351674020193,0.9497098646034813
2018-04-11,csi300_etf_buy_hold,0.001272912423625261,0.9509187620889745
2018-04-12,csi300_etf_buy_hold,-0.0104246122552758,0.9410058027079301
2018-04-13,csi300_etf_buy_hold,-0.006937307297019468,0.9344777562862667
2018-04-16,csi300_etf_buy_hold,-0.015782664941785374,0.9197292069632492
2018-04-17,csi300_etf_buy_hold,-0.014721345951629772,0.9061895551257252
2018-04-18,csi300_etf_buy_hold,0.002134471718249653,0.9081237911025143
2018-04-19,csi300_etf_buy_hold,0.01411075612353585,0.9209381044487427
2018-04-20,csi300_etf_buy_hold,-0.015489629824100848,0.9066731141199226
2018-04-23,csi300_etf_buy_hold,0.004266666666666641,0.9105415860735009
2018-04-24,csi300_etf_buy_hold,0.02097716409984063,0.9296421663442939
2018-04-25,csi300_etf_buy_hold,-0.005981794538361562,0.9240812379110249
